brokered_by,status,price,acre_lot,zip_code,house_size,prev_sold_date,address,bedrooms_bathrooms
,,,,,,,,
109978,sold,760000,0.36,92026,1888,2021-12-22,"760 Madison Ln, Escondido, California","3, 2"
109987,for_sale,490000,0.16,78418,2416,2019-04-03,"229 Broadway Ave, Corpus Christi, Texas","3, 4"
53173,sold,350000,0.9,25425,3220,2021-12-10,"693 Ridge Pl, Harpers Ferry, West Virginia","3, 2"
,,,,,,,,
,,,,,,,,
101497,for_sale,129900,1.95,29044,2128,2021-09-20,"575 King Pl, Eastover, South Carolina","4, 2"
,,,,,,,,
53016,sold,239000,0.56,37830,1724,2022-02-02,"829 Main Blvd, Oak Ridge, Tennessee","3, 2"
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
81311,sold,575000,0.22,28451,3057,2022-04-22,"827 Elm Ct, Leland, North Carolina","5, 4"
,,,,,,,,
,,,,,,,,
31355,sold,2365000,0.19,55424,4905,2021-12-30,"592 Meadow Ave, Edina, Minnesota","5, 5"
,,,,,,,,
,,,,,,,,
78184,sold,385000,0.23,34286,1708,2022-03-18,"390 Madison Ct, North Port, Florida","3, 3"
81671,sold,325000,8.36,65552,1784,2021-12-17,"651 Vista Blvd, Plato, Missouri","3, 2"
,,,,,,,,
28222,sold,2450000,0.19,90064,2751,2022-02-22,"687 Wilson Ave, Los Angeles, California","4, 4"
8,for_sale,517300,35.0,82007,3018,2022-10-31,"624 River Ln, Cheyenne, Wyoming","3, 2"
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
106177,for_sale,399500,0.27,31405,1760,2002-06-03,"411 Wilson Ave, Savannah, Georgia","3, 3"
,,,,,,,,
,,,,,,,,
4630,for_sale,519950,0.13,35801,2778,2020-03-09,"906 Mill Blvd, Huntsville, Alabama","4, 3"
,,,,,,,,
,,,,,,,,
,,,,,,,,
53232,for_sale,330000,0.3,12401,1062,2014-07-01,"225 Broadway Ct, Kingston, New York","2, 1"
45913,sold,250000,0.86,12804,1883,2021-11-23,"94 Washington Ave, Queensbury, New York","3, 2"
45807,for_sale,375000,6.69,44442,1747,1991-04-17,"157 Market Pl, New Middletown, Ohio","3, 2"
,,,,,,,,
,,,,,,,,
22611,for_sale,215000,0.12,60409,1304,2013-08-15,"995 Maple Ave, Calumet City, Illinois","3, 2"
,,,,,,,,
56699,sold,249900,0.29,63011,2037,2022-03-04,"115 Roosevelt Pl, Ellisville, Missouri","3, 2"
,,,,,,,,
,,,,,,,,
15757,for_sale,69900,0.17,73701,1333,2016-06-09,"520 View Rd, Enid, Oklahoma","3, 1"
,,,,,,,,
34888,sold,389000,0.22,77025,1696,2021-12-16,"383 Market St, Houston, Texas","3, 2"
,,,,,,,,
107955,for_sale,2199000,0.3,2043,3650,1992-10-22,"20 First Dr, Hingham, Massachusetts","3, 3"
22721,sold,799999,0.15,1760,3422,2022-04-05,"900 Baker Ln, Natick, Massachusetts","4, 4"
76215,sold,339000,0.34,72714,2035,2021-12-07,"60 Franklin Ave, Bella Vista, Arkansas","3, 3"
,,,,,,,,
53592,for_sale,619900,2.1,60050,4145,2020-04-02,"779 Third Blvd, Mchenry, Illinois","4, 6"
,,,,,,,,
687,sold,355000,0.19,32828,1864,2021-12-08,"272 Terrace Ln, Orlando, Florida","3, 2"
22611,sold,280000,0.19,15146,1874,2022-04-19,"952 King Rd, Monroeville, Pennsylvania","4, 2"
57424,sold,935000,0.16,95337,3789,2022-02-18,"409 Wood Ct, Manteca, California","5, 5"
23017,sold,240000,0.2,98837,1670,2022-03-09,"922 Square Ave, Moses Lake, Washington","3, 2"
79245,for_sale,599900,0.42,52722,3765,2016-11-21,"254 Princess Ave, Bettendorf, Iowa","5, 5"
86329,for_sale,699000,14.25,36092,4758,2015-02-19,"347 Oak Ln, Wetumpka, Alabama","4, 5"
,,,,,,,,
81031,sold,219000,0.31,17202,1189,2021-11-24,"73 Lake Ln, Chambersburg, Pennsylvania","3, 2"
10437,sold,350000,1.07,30041,1681,2022-02-23,"70 Cedar Dr, Cumming, Georgia","3, 2"
,,,,,,,,
,,,,,,,,
22671,sold,90000,0.09,63115,1152,2022-03-24,"553 Third Ct, Saint Louis, Missouri","3, 2"
19903,sold,849500,0.18,77030,2150,2021-12-31,"249 South Pl, Houston, Texas","3, 3"
,,,,,,,,
,,,,,,,,
53177,for_sale,105000,0.24,73801,2036,2007-06-29,"434 Court Ct, Woodward, Oklahoma","3, 2"
,,,,,,,,
,,,,,,,,
19415,for_sale,309000,3.0,54862,2025,2020-02-04,"820 View Ln, Ojibwa, Wisconsin","3, 2"
108243,sold,499000,0.18,99337,2289,2022-03-30,"197 Meadow Ct, Kennewick, Washington","3, 3"
,,,,,,,,
,,,,,,,,
54093,for_sale,265000,0.03,33050,321,2004-09-20,"896 Sunset Ct, Marathon, Florida","1, 1"
58970,sold,949900,0.23,20895,2500,2021-12-30,"828 Spring St, Kensington, Maryland","3, 4"
,,,,,,,,
,,,,,,,,
33901,for_sale,225000,0.33,46140,1456,2017-07-26,"417 East Ct, Greenfield, Indiana","2, 2"
,,,,,,,,
53673,for_sale,112900,0.5,48858,1524,2012-08-13,"169 Meadow St, Mount Pleasant, Michigan","3, 2"
,,,,,,,,
45936,for_sale,539900,0.21,13152,1918,2015-06-15,"293 Terrace Ct, Skaneateles, New York","3, 2"
85655,sold,249900,0.22,2831,1310,2022-02-04,"159 Meadow Rd, Scituate, Rhode Island","3, 1"
,,,,,,,,
75073,for_sale,375000,0.1,43206,1328,2020-07-06,"766 Church St, Columbus, Ohio","3, 1"
,,,,,,,,
5145,sold,750000,0.19,83642,2796,2022-01-10,"59 Park Blvd, Meridian, Idaho","3, 4"
82978,for_sale,335000,0.18,76502,2344,2013-05-01,"71 Hill Ln, Temple, Texas","3, 2"
,,,,,,,,
56084,sold,279900,0.16,53704,1699,2021-12-17,"593 Elm Ave, Madison, Wisconsin","2, 2"
,,,,,,,,
,,,,,,,,
22562,for_sale,210000,0.15,48125,1960,2010-10-14,"272 Farm Blvd, Dearborn Heights, Michigan","3, 2"
78200,sold,149000,0.15,44314,1560,2022-02-09,"688 Garfield Ct, Akron, Ohio","3, 2"
78167,sold,350000,0.15,55426,1908,2022-04-01,"324 Sunset St, Saint Louis Park, Minnesota","3, 2"
